Teste de Amostragem 1000hz - posicionamento 1(EMG ao centro do bíceps (Vermelho A, Verde B) + Ref no pulso) - 19/10/2024 - teste1 - 5 contrações (sem filtro RC)
long frequencia = 1000;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
45,0.90,0.45,0
71,2.30,1.16,0
100,4.26,2.14,0
85,5.87,2.97,0
42,6.59,3.36,0
82,8.10,4.15,0
22,8.38,4.33,0
48,9.17,4.76,0
44,9.87,5.16,0
76,11.19,5.87,0
201,14.99,7.82,0
25,15.19,7.99,0
56,16.00,8.47,0
82,17.32,9.20,0
73,18.44,9.84,0
17,18.41,9.91,0
79,19.62,10.60,0
24,19.71,10.74,0
58,20.47,11.21,0
34,20.74,11.44,0
180,23.93,13.12,0
43,24.31,13.42,0
23,24.28,13.52,0
42,24.64,13.80,0
36,24.87,14.03,0
80,25.97,14.69,0
85,27.15,15.39,0
44,27.49,15.67,0
20,27.34,15.72,0
82,28.43,16.38,0
31,28.48,16.53,0
74,29.39,17.10,0
64,30.08,17.57,0
112,31.72,18.51,0
56,32.21,18.89,0
95,33.46,19.65,0
92,34.63,20.37,0
82,35.58,20.99,0
24,35.35,21.02,0
23,35.10,21.04,0
39,35.18,21.22,0
97,36.42,21.98,0
211,39.91,23.87,0
35,39.81,23.98,0
93,40.87,24.67,0
60,41.26,25.02,0
68,41.79,25.45,0
36,41.68,25.56,0
66,42.16,25.96,0
37,42.06,26.07,0
25,41.72,26.06,0
159,44.06,27.39,0
33,43.84,27.45,0
25,43.47,27.42,0
24,43.08,27.39,0
109,44.39,28.21,0
25,44.01,28.17,0
84,44.81,28.73,0
100,45.91,29.44,0
58,46.15,29.73,0
103,47.29,30.46,0
19,46.72,30.35,0
33,46.45,30.37,0
47,46.46,30.54,0
57,46.67,30.81,0
90,47.54,31.40,0
30,47.19,31.38,0
72,47.68,31.79,0
108,48.89,32.55,0
43,48.77,32.66,0
69,49.18,33.02,0
44,49.07,33.13,0
20,48.49,33.00,0
32,48.16,32.99,0
152,50.24,34.18,0
64,50.51,34.48,0
45,50.40,34.58,0
38,50.16,34.62,0
28,49.71,34.55,0
126,51.24,35.46,0
91,52.03,36.02,0
35,51.69,36.01,0
25,51.16,35.90,0
62,51.38,36.16,0
16,50.67,35.96,0
101,51.67,36.61,0
70,52.04,36.94,0
70,52.40,37.27,0
89,53.13,37.79,0
82,53.71,38.23,0
108,54.80,38.93,0
74,55.18,39.28,0
149,57.06,40.38,0
31,56.53,40.28,0
31,56.02,40.19,0
46,55.82,40.25,0
181,58.33,41.66,0
31,57.78,41.55,0
37,57.36,41.51,0
80,57.82,41.89,0
106,58.78,42.53,0
76,59.13,42.87,0
69,59.32,43.13,0
39,58.92,43.09,0
36,58.46,43.02,0
152,60.33,44.10,0
36,59.84,44.02,0
66,59.97,44.24,0
28,59.33,44.08,0
26,58.66,43.90,0
36,58.21,43.82,0
44,57.92,43.82,0
69,58.14,44.07,0
44,57.86,44.07,0
90,58.50,44.53,0
36,58.05,44.45,0
59,58.07,44.59,0
38,57.67,44.53,0
37,57.26,44.45,0
84,57.79,44.85,0
41,57.46,44.81,0
68,57.67,45.04,0
60,57.71,45.19,0
56,57.68,45.30,0
67,57.87,45.52,0
25,57.21,45.31,0
31,56.69,45.17,0
28,56.11,45.00,0
171,58.41,46.26,0
36,57.96,46.15,0
12,57.04,45.81,0
118,58.26,46.53,0
41,57.92,46.48,0
104,58.84,47.05,0
70,59.06,47.28,0
40,58.68,47.21,0
20,57.91,46.94,0
95,58.65,47.42,0
39,58.25,47.33,0
52,58.13,47.38,0
54,58.05,47.45,0
95,58.79,47.92,0
72,59.05,48.16,0
90,59.67,48.58,0
74,59.96,48.84,0
75,60.26,49.10,0
36,59.77,48.97,0
20,58.98,48.68,0
22,58.24,48.41,0
61,58.29,48.54,0
192,60.97,49.97,0
17,60.09,49.64,0
51,59.91,49.65,0
64,59.99,49.80,0
56,59.91,49.86,0
64,59.99,50.00,0
100,60.79,50.50,0
26,60.09,50.26,0
36,59.61,50.11,0
75,59.92,50.36,0
