Teste de posicionamento 3(EMG tendao-inervacao (Vermelho A, Verde C) + Ref no pulso) - 16/09/2024 - teste3 - 5 contrações
long frequencia = 1000;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
135,2.70,1.35,0
135,5.35,2.69,0
135,7.94,4.01,0
135,10.48,5.32,0
136,12.99,6.63,0
136,15.45,7.92,0
134,17.82,9.18,0
133,20.13,10.42,0
134,22.40,11.65,0
135,24.65,12.89,0
134,26.84,14.10,0
133,28.96,15.29,0
133,31.05,16.47,0
133,33.08,17.63,0
134,35.10,18.79,0
135,37.10,19.96,0
133,39.02,21.09,0
133,40.90,22.21,0
133,42.74,23.31,0
132,44.53,24.40,0
133,46.30,25.49,0
133,48.03,26.56,0
132,49.71,27.62,0
131,51.33,28.65,0
133,52.97,29.69,0
133,54.57,30.73,0
133,56.14,31.75,0
132,57.65,32.75,0
131,59.12,33.73,0
132,60.58,34.72,0
132,62.01,35.69,0
132,63.41,36.65,0
131,64.76,37.60,0
131,66.08,38.53,0
131,67.38,39.46,0
132,68.67,40.38,0
133,69.96,41.31,0
132,71.20,42.21,0
131,72.40,43.10,0
131,73.57,43.98,0
131,74.72,44.85,0
131,75.84,45.71,0
130,76.93,46.56,0
129,77.97,47.38,0
129,78.99,48.20,0
131,80.03,49.02,0
132,81.07,49.85,0
130,82.05,50.66,0
130,83.01,51.45,0
129,83.93,52.22,0
131,84.87,53.01,0
132,85.81,53.80,0
130,86.69,54.56,0
129,87.54,55.31,0
129,88.37,56.05,0
130,89.20,56.78,0
132,90.06,57.54,0
131,90.88,58.27,0
129,91.64,58.98,0
129,92.39,59.68,0
129,93.12,60.37,0
130,93.86,61.07,0
129,94.56,61.75,0
131,95.29,62.44,0
130,95.98,63.12,0
131,96.68,63.79,0
132,97.39,64.48,0
131,98.06,65.14,0
132,98.74,65.81,0
129,99.35,66.44,0
131,99.98,67.09,0
134,100.66,67.76,0
135,101.35,68.43,0
132,101.96,69.07,0
130,102.52,69.67,0
130,103.07,70.28,0
132,103.65,70.90,0
132,104.21,71.51,0
130,104.73,72.09,0
134,105.32,72.71,0
132,105.85,73.30,0
133,106.39,73.90,0
132,106.90,74.48,0
130,107.37,75.04,0
131,107.84,75.60,0
131,108.30,76.15,0
133,108.80,76.72,0
131,109.24,77.26,0
130,109.66,77.79,0
130,110.06,78.31,0
130,110.46,78.83,0
130,110.85,79.34,0
130,111.24,79.85,0
132,111.65,80.37,0
130,112.02,80.86,0
130,112.38,81.36,0
133,112.79,81.87,0
132,113.17,82.37,0
130,113.51,82.85,0
130,113.84,83.32,0
132,114.20,83.81,0
133,114.58,84.30,0
133,114.95,84.79,0
130,115.25,85.24,0
130,115.54,85.69,0
132,115.87,86.15,0
132,116.20,86.61,0
131,116.49,87.05,0
130,116.76,87.48,0
130,117.03,87.91,0
130,117.29,88.33,0
132,117.58,88.76,0
132,117.87,89.20,0
129,118.09,89.59,0
129,118.31,89.99,0
132,118.58,90.41,0
131,118.83,90.81,0
131,119.07,91.22,0
130,119.29,91.60,0
130,119.51,91.99,0
130,119.72,92.37,0
131,119.94,92.75,0
130,120.14,93.13,0
132,120.38,93.52,0
130,120.57,93.88,0
132,120.80,94.26,0
131,121.01,94.63,0
129,121.17,94.97,0
130,121.34,95.32,0
130,121.52,95.67,0
132,121.73,96.03,0
130,121.89,96.37,0
130,122.05,96.71,0
128,122.17,97.02,0
130,122.33,97.35,0
130,122.48,97.68,0
132,122.67,98.02,0
128,122.78,98.32,0
128,122.88,98.62,0
132,123.07,98.95,0
130,123.20,99.26,0
130,123.34,99.57,0
128,123.43,99.85,0
128,123.52,100.14,0
130,123.65,100.43,0
134,123.86,100.77,0
129,123.96,101.05,0
129,124.06,101.33,0
129,124.16,101.61,0
130,124.28,101.89,0
130,124.39,102.17,0
129,124.49,102.44,0
129,124.58,102.71,0
129,124.67,102.97,0
129,124.75,103.23,0
129,124.84,103.49,0
129,124.92,103.74,0
130,125.02,104.01,0
129,125.10,104.26,0
131,125.22,104.52,0
129,125.30,104.77,0
127,125.33,104.99,0
129,125.40,105.23,0
129,125.47,105.47,0
130,125.57,105.71,0
127,125.59,105.93,0
128,125.64,106.15,0
129,125.71,106.38,0
130,125.79,106.61,0
129,125.86,106.84,0
128,125.90,107.05,0
129,125.96,107.27,0
129,126.02,107.48,0
130,126.10,107.71,0
128,126.14,107.91,0
128,126.18,108.11,0
128,126.22,108.31,0
129,126.27,108.52,0
129,126.33,108.72,0
127,126.34,108.91,0
127,126.35,109.09,0
128,126.39,109.28,0
129,126.44,109.47,0
129,126.49,109.67,0
127,126.50,109.84,0
128,126.53,110.02,0
128,126.56,110.20,0
129,126.61,110.39,0
129,126.66,110.58,0
127,126.66,110.74,0
128,126.69,110.91,0
129,126.74,111.10,0
129,126.78,111.27,0
127,126.78,111.43,0
127,126.79,111.59,0
127,126.79,111.74,0
128,126.82,111.90,0
127,126.82,112.06,0
127,126.82,112.20,0
127,126.83,112.35,0
131,126.91,112.54,0
128,126.93,112.69,0
127,126.93,112.84,0
125,126.90,112.96,0
127,126.90,113.10,0
128,126.92,113.25,0
128,126.94,113.40,0
125,126.90,113.51,0
126,126.89,113.64,0
127,126.89,113.77,0
128,126.91,113.91,0
127,126.91,114.04,0
126,126.89,114.16,0
126,126.88,114.28,0
128,126.90,114.42,0
128,126.92,114.55,0
123,126.84,114.64,0
127,126.84,114.76,0
125,126.81,114.86,0
128,126.83,115.00,0
125,126.79,115.10,0
127,126.80,115.21,0
125,126.76,115.31,0
125,126.73,115.41,0
127,126.73,115.53,0
127,126.74,115.64,0
125,126.70,115.73,0
124,126.65,115.82,0
126,126.64,115.92,0
127,126.64,116.03,0
125,126.61,116.12,0
124,126.56,116.20,0
125,126.53,116.29,0
125,126.50,116.37,0
127,126.51,116.48,0
123,126.44,116.54,0
124,126.39,116.62,0
125,126.36,116.70,0
127,126.37,116.81,0
125,126.35,116.89,0
123,126.28,116.95,0
125,126.25,117.03,0
126,126.25,117.12,0
125,126.22,117.20,0
124,126.18,117.27,0
124,126.14,117.33,0
125,126.11,117.41,0
125,126.09,117.49,0
125,126.07,117.56,0
125,126.05,117.64,0
123,125.99,117.69,0
124,125.95,117.75,0
125,125.93,117.82,0
124,125.89,117.89,0
123,125.83,117.94,0
124,125.79,118.00,0
124,125.76,118.06,0
125,125.74,118.13,0
125,125.73,118.20,0
123,125.67,118.24,0
124,125.64,118.30,0
124,125.61,118.36,0
125,125.60,118.43,0
123,125.54,118.47,0
123,125.49,118.52,0
123,125.44,118.56,0
125,125.43,118.63,0
124,125.41,118.68,0
122,125.34,118.71,0
123,125.29,118.76,0
125,125.28,118.82,0
124,125.26,118.87,0
124,125.23,118.92,0
121,125.15,118.94,0
123,125.11,118.98,0
124,125.08,119.03,0
125,125.08,119.09,0
123,125.04,119.13,0
121,124.96,119.15,0
123,124.92,119.19,0
123,124.88,119.23,0
123,124.84,119.26,0
123,124.81,119.30,0
124,124.79,119.35,0
124,124.78,119.40,0
123,124.74,119.43,0
123,124.71,119.47,0
125,124.71,119.52,0
125,124.72,119.58,0
125,124.72,119.63,0
121,124.65,119.64,0
123,124.62,119.68,0
125,124.62,119.73,0
124,124.61,119.77,0
123,124.58,119.81,0
