Teste de Amostragem 10hz - posicionamento 1(EMG ao centro do bíceps (Vermelho A, Verde B) + Ref no pulso) - 19/10/2024 - teste1 - 5 contrações
long frequencia = 10;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
176,3.52,1.76,0
176,6.97,3.50,0
175,10.33,5.22,0
176,13.64,6.93,0
174,16.85,8.60,0
174,19.99,10.25,0
172,23.03,11.87,0
171,25.99,13.46,0
168,28.83,15.00,0
168,31.62,16.53,0
167,34.32,18.04,0
165,36.94,19.51,0
165,39.50,20.96,0
164,41.99,22.39,0
164,44.43,23.81,0
163,46.80,25.20,0
163,49.12,26.58,0
163,51.40,27.94,0
166,53.69,29.32,0
165,55.92,30.68,0
163,58.06,32.00,0
163,60.16,33.31,0
164,62.24,34.62,0
164,64.27,35.91,0
168,66.35,37.24,0
170,68.42,38.56,0
200,71.05,40.18,0
229,74.21,42.07,0
231,77.35,43.96,0
215,80.10,45.67,0
200,82.50,47.21,0
185,84.55,48.59,0
173,86.32,49.83,0
163,87.85,50.96,0
157,89.23,52.02,0
152,90.49,53.02,0
148,91.64,53.97,0
143,92.67,54.86,0
139,93.59,55.70,0
136,94.44,56.51,0
132,95.19,57.26,0
130,95.89,57.99,0
128,96.53,58.69,0
130,97.20,59.40,0
132,97.90,60.13,0
137,98.68,60.90,0
145,99.60,61.74,0
162,100.85,62.74,0
184,102.52,63.95,0
209,104.65,65.40,0
221,106.97,66.96,0
213,109.09,68.42,0
197,110.85,69.71,0
184,112.31,70.85,0
170,113.47,71.84,0
158,114.36,72.70,0
151,115.09,73.49,0
143,115.65,74.18,0
137,116.08,74.81,0
131,116.37,75.37,0
125,116.55,75.87,0
119,116.60,76.30,0
114,116.54,76.68,0
110,116.41,77.01,0
107,116.23,77.31,0
108,116.06,77.62,0
112,115.98,77.96,0
112,115.90,78.30,0
118,115.94,78.70,0
124,116.10,79.15,0
136,116.50,79.72,0
160,117.37,80.52,0
190,118.82,81.62,0
214,120.73,82.94,0
201,122.33,84.12,0
186,123.61,85.14,0
172,124.57,86.01,0
162,125.32,86.77,0
153,125.88,87.43,0
145,126.26,88.01,0
138,126.49,88.51,0
133,126.62,88.95,0
126,126.61,89.32,0
120,126.48,89.63,0
115,126.25,89.88,0
111,125.94,90.09,0
108,125.59,90.27,0
110,125.27,90.47,0
118,125.13,90.74,0
125,125.13,91.09,0
138,125.38,91.56,0
149,125.86,92.13,0
166,126.66,92.87,0
195,128.03,93.89,0
231,130.08,95.26,0
236,132.20,96.67,0
218,133.92,97.88,0
200,135.24,98.90,0
184,136.22,99.75,0
172,136.93,100.48,0
163,137.45,101.10,0
156,137.82,101.65,0
149,138.05,102.12,0
143,138.15,102.53,0
137,138.12,102.88,0
131,137.98,103.16,0
126,137.74,103.39,0
125,137.49,103.60,0
127,137.28,103.84,0
129,137.11,104.09,0
133,137.03,104.38,0
139,137.07,104.72,0
149,137.31,105.17,0
158,137.72,105.70,0
182,138.61,106.46,0
205,139.93,107.44,0
195,141.04,108.32,0
181,141.83,109.05,0
170,142.40,109.66,0
159,142.73,110.15,0
154,142.96,110.59,0
153,143.16,111.01,0
155,143.39,111.45,0
163,143.79,111.97,0
172,144.35,112.57,0
176,144.98,113.20,0
177,145.62,113.84,0
176,146.23,114.46,0
174,146.79,115.06,0
172,147.29,115.63,0
172,147.78,116.19,0
170,148.23,116.73,0
169,148.64,117.25,0
167,149.01,117.75,0
167,149.37,118.24,0
165,149.68,118.71,0
164,149.97,119.16,0
161,150.19,119.58,0
161,150.41,119.99,0
161,150.62,120.40,0
159,150.79,120.79,0
