Teste de posicionamento 1.1(EMG ao centro do bíceps (Verde A, Vermelho B) + Ref no pulso) - 16/04/2024 - teste2 - 5 contrações
long frequencia = 1000;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
74,1.48,0.74,0
75,2.95,1.48,0
74,4.37,2.21,0
73,5.74,2.92,0
74,7.11,3.63,0
75,8.47,4.34,0
73,9.76,5.03,0
75,11.06,5.73,0
74,12.32,6.41,0
74,13.55,7.09,0
74,14.76,7.75,0
75,15.97,8.43,0
73,17.11,9.07,0
74,18.25,9.72,0
74,19.36,10.36,0
73,20.43,10.99,0
73,21.49,11.61,0
74,22.54,12.23,0
74,23.57,12.85,0
74,24.57,13.46,0
75,25.58,14.08,0
74,26.55,14.68,0
74,27.50,15.27,0
73,28.41,15.85,0
74,29.32,16.43,0
74,30.22,17.01,0
74,31.09,17.58,0
76,31.99,18.16,0
74,32.83,18.72,0
74,33.65,19.27,0
74,34.46,19.82,0
72,35.21,20.34,0
73,35.97,20.87,0
74,36.73,21.40,0
73,37.45,21.91,0
74,38.18,22.44,0
73,38.88,22.94,0
74,39.58,23.45,0
74,40.27,23.96,0
73,40.93,24.45,0
74,41.59,24.94,0
72,42.19,25.41,0
74,42.83,25.90,0
71,43.39,26.35,0
74,44.01,26.83,0
76,44.65,27.32,0
72,45.19,27.77,0
74,45.77,28.23,0
72,46.29,28.67,0
72,46.81,29.10,0
72,47.31,29.53,0
73,47.83,29.96,0
74,48.35,30.40,0
72,48.82,30.82,0
72,49.29,31.23,0
73,49.76,31.65,0
72,50.21,32.05,0
73,50.66,32.46,0
73,51.11,32.87,0
73,51.55,33.27,0
74,51.99,33.68,0
73,52.41,34.07,0
72,52.81,34.45,0
72,53.19,34.82,0
74,53.61,35.22,0
72,53.97,35.58,0
72,54.33,35.95,0
73,54.71,36.32,0
72,55.05,36.67,0
72,55.39,37.03,0
73,55.75,37.39,0
73,56.09,37.74,0
73,56.43,38.10,0
72,56.74,38.44,0
72,57.05,38.77,0
74,57.38,39.12,0
73,57.70,39.46,0
72,57.98,39.79,0
72,58.26,40.11,0
73,58.56,40.44,0
74,58.87,40.77,0
72,59.13,41.09,0
72,59.39,41.40,0
72,59.64,41.70,0
72,59.89,42.00,0
72,60.13,42.30,0
72,60.37,42.60,0
72,60.60,42.90,0
74,60.87,43.21,0
72,61.09,43.49,0
72,61.31,43.78,0
73,61.54,44.07,0
72,61.75,44.35,0
72,61.96,44.63,0
72,62.16,44.90,0
72,62.35,45.17,0
72,62.55,45.44,0
72,62.74,45.71,0
72,62.92,45.97,0
72,63.10,46.23,0
72,63.28,46.49,0
72,63.45,46.74,0
72,63.63,46.99,0
72,63.79,47.24,0
72,63.96,47.49,0
72,64.12,47.74,0
70,64.24,47.96,0
72,64.39,48.20,0
71,64.52,48.43,0
70,64.63,48.64,0
71,64.76,48.87,0
72,64.90,49.10,0
72,65.05,49.33,0
70,65.15,49.53,0
70,65.24,49.74,0
71,65.36,49.95,0
72,65.49,50.17,0
71,65.60,50.38,0
70,65.69,50.58,0
71,65.80,50.78,0
72,65.92,50.99,0
72,66.04,51.20,0
70,66.12,51.39,0
72,66.24,51.60,0
70,66.31,51.78,0
70,66.39,51.96,0
70,66.46,52.14,0
71,66.55,52.33,0
70,66.62,52.51,0
72,66.73,52.70,0
70,66.79,52.88,0
70,66.86,53.05,0
70,66.92,53.22,0
70,66.98,53.39,0
70,67.04,53.55,0
71,67.12,53.73,0
70,67.18,53.89,0
70,67.23,54.05,0
71,67.31,54.22,0
71,67.38,54.39,0
74,67.52,54.58,0
70,67.57,54.74,0
73,67.67,54.92,0
71,67.74,55.08,0
71,67.81,55.24,0
71,67.87,55.40,0
70,67.91,55.54,0
70,67.95,55.69,0
71,68.01,55.84,0
70,68.05,55.98,0
74,68.17,56.16,0
70,68.21,56.30,0
71,68.27,56.45,0
70,68.30,56.58,0
71,68.35,56.73,0
70,68.39,56.86,0
69,68.40,56.98,0
70,68.43,57.11,0
69,68.44,57.23,0
71,68.49,57.37,0
72,68.56,57.52,0
70,68.59,57.64,0
70,68.62,57.76,0
72,68.69,57.91,0
71,68.73,58.04,0
72,68.80,58.18,0
68,68.78,58.28,0
70,68.81,58.39,0
71,68.85,58.52,0
