Teste de posicionamento 3(EMG tendao-inervacao (Vermelho A, Verde C) + Ref no pulso) - 16/04/2024 - teste2 - 5 contrações
long frequencia = 1000;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
73,1.46,0.73,0
72,2.87,1.44,0
72,4.25,2.15,0
73,5.63,2.86,0
72,6.96,3.55,0
73,8.28,4.24,0
74,9.59,4.94,0
72,10.84,5.61,0
73,12.08,6.28,0
72,13.28,6.94,0
73,14.48,7.60,0
73,15.65,8.26,0
73,16.79,8.90,0
72,17.90,9.53,0
72,18.98,10.16,0
72,20.04,10.78,0
72,21.08,11.39,0
74,22.14,12.02,0
72,23.13,12.62,0
72,24.11,13.21,0
72,25.07,13.80,0
72,26.01,14.38,0
72,26.93,14.96,0
73,27.85,15.54,0
72,28.73,16.10,0
74,29.64,16.68,0
72,30.48,17.23,0
73,31.34,17.79,0
73,32.17,18.34,0
74,33.01,18.90,0
74,33.83,19.45,0
73,34.61,19.99,0
74,35.40,20.53,0
73,36.15,21.05,0
73,36.89,21.57,0
74,37.63,22.09,0
74,38.36,22.61,0
74,39.07,23.13,0
74,39.77,23.64,0
73,40.43,24.13,0
73,41.08,24.62,0
74,41.74,25.11,0
74,42.39,25.60,0
73,43.00,26.08,0
76,43.66,26.57,0
73,44.25,27.04,0
74,44.84,27.51,0
73,45.40,27.96,0
73,45.96,28.41,0
73,46.50,28.86,0
73,47.03,29.30,0
73,47.55,29.74,0
73,48.06,30.17,0
72,48.53,30.59,0
73,49.02,31.01,0
74,49.52,31.44,0
73,49.99,31.86,0
73,50.45,32.27,0
74,50.92,32.69,0
72,51.35,33.08,0
75,51.82,33.50,0
74,52.26,33.90,0
74,52.70,34.31,0
74,53.12,34.70,0
74,53.54,35.10,0
74,53.95,35.48,0
74,54.35,35.87,0
74,54.74,36.25,0
74,55.13,36.63,0
74,55.51,37.00,0
74,55.88,37.37,0
73,56.22,37.73,0
73,56.55,38.08,0
73,56.88,38.43,0
72,57.19,38.77,0
73,57.50,39.11,0
73,57.81,39.45,0
73,58.12,39.78,0
72,58.39,40.11,0
74,58.71,40.44,0
73,58.99,40.77,0
72,59.25,41.08,0
74,59.55,41.41,0
73,59.82,41.73,0
74,60.10,42.05,0
74,60.38,42.37,0
74,60.65,42.69,0
73,60.90,42.99,0
73,61.14,43.29,0
74,61.40,43.60,0
74,61.65,43.90,0
74,61.89,44.20,0
73,62.12,44.49,0
74,62.35,44.78,0
73,62.57,45.07,0
73,62.78,45.35,0
73,62.98,45.62,0
73,63.18,45.90,0
72,63.36,46.16,0
73,63.55,46.43,0
73,63.74,46.69,0
74,63.94,46.96,0
73,64.13,47.22,0
73,64.30,47.48,0
72,64.46,47.73,0
72,64.61,47.97,0
72,64.76,48.21,0
73,64.92,48.46,0
72,65.06,48.69,0
72,65.20,48.93,0
72,65.34,49.16,0
73,65.49,49.40,0
72,65.62,49.62,0
73,65.77,49.86,0
72,65.89,50.08,0
73,66.03,50.31,0
72,66.15,50.52,0
72,66.27,50.74,0
73,66.41,50.96,0
72,66.52,51.17,0
72,66.63,51.38,0
73,66.75,51.60,0
72,66.86,51.80,0
72,66.96,52.00,0
73,67.08,52.21,0
72,67.18,52.41,0
72,67.28,52.61,0
73,67.39,52.81,0
72,67.48,53.00,0
72,67.57,53.19,0
72,67.66,53.38,0
74,67.79,53.59,0
74,67.91,53.79,0
72,68.00,53.97,0
72,68.08,54.15,0
72,68.15,54.33,0
72,68.23,54.51,0
72,68.31,54.68,0
72,68.38,54.86,0
73,68.47,55.04,0
73,68.56,55.22,0
72,68.63,55.38,0
72,68.70,55.55,0
73,68.79,55.73,0
72,68.85,55.89,0
71,68.89,56.04,0
72,68.96,56.20,0
73,69.04,56.37,0
72,69.10,56.52,0
72,69.15,56.68,0
72,69.21,56.83,0
72,69.27,56.98,0
72,69.32,57.13,0
72,69.37,57.28,0
70,69.39,57.41,0
71,69.42,57.54,0
72,69.47,57.69,0
72,69.52,57.83,0
70,69.53,57.95,0
71,69.56,58.08,0
71,69.59,58.21,0
71,69.62,58.34,0
70,69.62,58.46,0
72,69.67,58.59,0
72,69.72,58.73,0
71,69.74,58.85,0
70,69.75,58.96,0
71,69.77,59.08,0
71,69.80,59.20,0
70,69.80,59.31,0
72,69.85,59.44,0
72,69.89,59.56,0
71,69.91,59.68,0
71,69.93,59.79,0
71,69.96,59.90,0
72,70.00,60.02,0
71,70.02,60.13,0
70,70.02,60.23,0
72,70.06,60.35,0
71,70.07,60.46,0
70,70.07,60.55,0
74,70.15,60.69,0
72,70.19,60.80,0
71,70.20,60.90,0
71,70.22,61.00,0
70,70.22,61.09,0
70,70.21,61.18,0
71,70.23,61.28,0
70,70.22,61.37,0
69,70.20,61.44,0
71,70.21,61.54,0
70,70.21,61.62,0
72,70.25,61.73,0
72,70.28,61.83,0
70,70.28,61.91,0
71,70.29,62.00,0
71,70.30,62.09,0
69,70.28,62.16,0
70,70.27,62.24,0
