Biceps D Eletrodo verde mais próximo ao cotovelo  e vermelho ao centro - 12/03/2024 - teste1 - 5 contrações
long frequencia = 1000;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
68,1.36,0.68,0
69,2.71,1.36,0
68,4.02,2.03,0
68,5.30,2.69,0
68,6.55,3.34,0
68,7.78,3.99,0
67,8.97,4.62,0
68,10.15,5.25,0
66,11.26,5.86,0
68,12.40,6.48,0
68,13.51,7.10,0
68,14.60,7.71,0
68,15.67,8.31,0
69,16.73,8.92,0
67,17.74,9.50,0
68,18.75,10.08,0
68,19.73,10.66,0
68,20.70,11.23,0
67,21.62,11.79,0
67,22.53,12.34,0
68,23.44,12.90,0
68,24.33,13.45,0
67,25.18,13.99,0
68,26.04,14.53,0
68,26.88,15.06,0
68,27.70,15.59,0
68,28.51,16.12,0
68,29.30,16.63,0
68,30.07,17.15,0
67,30.81,17.65,0
68,31.55,18.15,0
68,32.28,18.65,0
68,33.00,19.14,0
68,33.70,19.63,0
69,34.40,20.12,0
68,35.07,20.60,0
68,35.73,21.08,0
69,36.40,21.56,0
68,37.03,22.02,0
68,37.65,22.48,0
68,38.26,22.94,0
68,38.85,23.39,0
68,39.43,23.83,0
67,39.99,24.26,0
68,40.55,24.70,0
68,41.10,25.13,0
68,41.63,25.56,0
70,42.20,26.01,0
67,42.70,26.42,0
67,43.18,26.82,0
69,43.70,27.24,0
68,44.19,27.65,0
68,44.66,28.06,0
68,45.13,28.46,0
68,45.59,28.85,0
70,46.07,29.26,0
68,46.51,29.65,0
68,46.94,30.03,0
70,47.40,30.43,0
68,47.82,30.81,0
68,48.22,31.18,0
68,48.61,31.55,0
69,49.02,31.92,0
67,49.38,32.27,0
67,49.73,32.62,0
68,50.10,32.98,0
68,50.46,33.33,0
68,50.81,33.67,0
68,51.15,34.02,0
68,51.49,34.36,0
67,51.80,34.68,0
68,52.12,35.01,0
68,52.44,35.34,0
67,52.73,35.66,0
68,53.04,35.98,0
68,53.34,36.30,0
68,53.63,36.62,0
68,53.92,36.94,0
68,54.20,37.25,0
68,54.48,37.55,0
68,54.75,37.86,0
68,55.01,38.16,0
68,55.27,38.46,0
70,55.57,38.77,0
68,55.81,39.07,0
68,56.06,39.35,0
68,56.30,39.64,0
68,56.53,39.93,0
68,56.76,40.21,0
67,56.96,40.47,0
68,57.19,40.75,0
68,57.40,41.02,0
68,57.61,41.29,0
68,57.82,41.56,0
70,58.07,41.84,0
68,58.26,42.10,0
68,58.46,42.36,0
68,58.65,42.62,0
67,58.82,42.86,0
68,59.00,43.11,0
68,59.18,43.36,0
68,59.36,43.61,0
68,59.53,43.85,0
68,59.70,44.10,0
68,59.86,44.33,0
68,60.03,44.57,0
68,60.19,44.81,0
68,60.34,45.04,0
67,60.48,45.26,0
68,60.63,45.48,0
69,60.79,45.72,0
68,60.94,45.94,0
68,61.08,46.16,0
68,61.22,46.38,0
69,61.37,46.61,0
68,61.51,46.82,0
68,61.64,47.03,0
66,61.72,47.22,0
68,61.85,47.43,0
66,61.93,47.62,0
68,62.05,47.82,0
68,62.17,48.02,0
67,62.27,48.21,0
68,62.38,48.41,0
68,62.50,48.61,0
66,62.57,48.78,0
67,62.65,48.96,0
67,62.74,49.14,0
68,62.85,49.33,0
66,62.91,49.50,0
67,62.99,49.67,0
67,63.07,49.85,0
68,63.17,50.03,0
67,63.25,50.20,0
69,63.36,50.38,0
68,63.45,50.56,0
68,63.55,50.74,0
67,63.61,50.90,0
68,63.70,51.07,0
67,63.77,51.23,0
68,63.85,51.40,0
68,63.94,51.56,0
68,64.02,51.73,0
67,64.08,51.88,0
66,64.12,52.02,0
66,64.15,52.16,0
68,64.23,52.32,0
68,64.31,52.48,0
66,64.34,52.61,0
67,64.39,52.75,0
67,64.44,52.90,0
68,64.52,53.05,0
67,64.57,53.19,0
67,64.61,53.33,0
67,64.66,53.46,0
71,64.79,53.64,0
68,64.85,53.78,0
68,64.92,53.92,0
68,64.98,54.06,0
67,65.02,54.19,0
66,65.04,54.31,0
68,65.10,54.45,0
68,65.15,54.58,0
67,65.19,54.71,0
68,65.25,54.84,0
68,65.30,54.97,0
68,65.36,55.10,0
67,65.39,55.22,0
67,65.42,55.34,0
68,65.47,55.47,0
68,65.52,55.59,0
67,65.55,55.71,0
68,65.60,55.83,0
68,65.65,55.95,0
68,65.70,56.07,0
68,65.74,56.19,0
68,65.79,56.31,0
68,65.83,56.43,0
68,65.88,56.54,0
66,65.88,56.64,0
68,65.92,56.75,0
68,65.96,56.86,0
68,66.00,56.97,0
68,66.04,57.08,0
68,66.08,57.19,0
67,66.10,57.29,0
67,66.12,57.39,0
67,66.14,57.48,0
68,66.17,57.59,0
67,66.19,57.68,0
68,66.23,57.79,0
67,66.24,57.88,0
69,66.30,57.99,0
66,66.29,58.07,0
68,66.33,58.17,0
68,66.36,58.27,0
