Biceps D Eletrodo vermelho mais próximo ao ombro - 12/03/2024 - teste1 - 5 contrações
long frequencia = 1000;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
119,2.38,1.19,0
119,4.71,2.37,0
118,6.98,3.52,0
119,9.22,4.68,0
118,11.39,5.81,0
118,13.53,6.93,0
119,15.64,8.05,0
120,17.72,9.17,0
119,19.75,10.27,0
119,21.73,11.36,0
121,23.72,12.46,0
120,25.64,13.53,0
122,27.57,14.62,0
121,29.44,15.68,0
121,31.27,16.73,0
119,33.03,17.76,0
123,34.83,18.81,0
119,36.51,19.81,0
119,38.16,20.80,0
121,39.82,21.80,0
121,41.44,22.80,0
121,43.03,23.78,0
119,44.55,24.73,0
119,46.04,25.67,0
121,47.54,26.63,0
121,49.01,27.57,0
121,50.45,28.50,0
122,51.88,29.44,0
120,53.24,30.35,0
121,54.60,31.25,0
122,55.94,32.16,0
121,57.25,33.05,0
121,58.52,33.93,0
121,59.77,34.80,0
121,60.99,35.66,0
122,62.21,36.52,0
122,63.41,37.38,0
121,64.56,38.21,0
122,65.71,39.05,0
123,66.86,39.89,0
121,67.94,40.70,0
121,69.00,41.51,0
119,70.00,42.28,0
121,71.02,43.07,0
122,72.04,43.86,0
121,73.02,44.63,0
121,73.98,45.39,0
121,74.92,46.15,0
123,75.88,46.92,0
125,76.86,47.70,0
121,77.75,48.43,0
121,78.61,49.16,0
123,79.50,49.89,0
122,80.35,50.62,0
123,81.20,51.34,0
123,82.04,52.06,0
121,82.82,52.75,0
122,83.60,53.44,0
122,84.37,54.12,0
122,85.12,54.80,0
122,85.86,55.47,0
123,86.60,56.15,0
121,87.29,56.80,0
121,87.96,57.44,0
122,88.64,58.09,0
123,89.33,58.74,0
121,89.97,59.36,0
123,90.63,59.99,0
121,91.23,60.60,0
122,91.85,61.22,0
122,92.45,61.83,0
122,93.04,62.43,0
124,93.66,63.04,0
121,94.21,63.62,0
122,94.76,64.21,0
122,95.31,64.78,0
123,95.86,65.37,0
122,96.39,65.93,0
121,96.88,66.48,0
123,97.40,67.05,0
122,97.89,67.60,0
123,98.39,68.15,0
122,98.87,68.69,0
121,99.31,69.21,0
121,99.74,69.73,0
121,100.17,70.24,0
123,100.63,70.77,0
121,101.03,71.27,0
121,101.43,71.77,0
122,101.84,72.27,0
123,102.27,72.78,0
123,102.68,73.28,0
122,103.07,73.77,0
122,103.45,74.25,0
122,103.82,74.73,0
122,104.18,75.20,0
127,104.64,75.72,0
122,104.98,76.18,0
122,105.32,76.64,0
123,105.68,77.11,0
122,106.00,77.55,0
123,106.34,78.01,0
122,106.66,78.45,0
122,106.96,78.88,0
123,107.29,79.33,0
123,107.60,79.76,0
123,107.91,80.19,0
122,108.19,80.61,0
122,108.47,81.03,0
121,108.72,81.43,0
122,108.98,81.83,0
122,109.24,82.23,0
123,109.52,82.64,0
122,109.77,83.04,0
123,110.03,83.43,0
123,110.29,83.83,0
122,110.53,84.21,0
123,110.77,84.60,0
122,111.00,84.97,0
123,111.24,85.35,0
123,111.47,85.73,0
122,111.69,86.09,0
122,111.89,86.45,0
122,112.09,86.81,0
122,112.29,87.16,0
123,112.51,87.52,0
121,112.68,87.85,0
123,112.88,88.20,0
122,113.06,88.54,0
122,113.24,88.88,0
123,113.44,89.22,0
122,113.61,89.55,0
122,113.78,89.87,0
122,113.94,90.19,0
122,114.10,90.51,0
123,114.28,90.83,0
121,114.42,91.14,0
122,114.57,91.45,0
122,114.72,91.75,0
122,114.86,92.05,0
123,115.02,92.36,0
121,115.14,92.65,0
122,115.28,92.94,0
122,115.42,93.23,0
