Biceps D- Belly-tendon montage (Logullo F) + neutro no cotovelo - 19/03/2024 - teste1 - 5 contrações
long frequencia = 1000;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
102,2.04,1.02,0
100,4.00,2.01,0
100,5.92,2.99,0
99,7.78,3.95,0
100,9.63,4.91,0
100,11.43,5.86,0
102,13.24,6.82,0
101,15.00,7.76,0
99,16.68,8.68,0
100,18.35,9.59,0
103,20.04,10.52,0
100,21.64,11.42,0
100,23.21,12.30,0
101,24.76,13.19,0
100,26.27,14.06,0
101,27.76,14.93,0
100,29.21,15.78,0
100,30.62,16.62,0
99,31.99,17.45,0
102,33.39,18.29,0
100,34.72,19.11,0
100,36.03,19.92,0
99,37.29,20.71,0
102,38.58,21.52,0
101,39.83,22.32,0
101,41.05,23.10,0
100,42.23,23.87,0
99,43.37,24.62,0
101,44.52,25.39,0
99,45.61,26.12,0
99,46.68,26.85,0
99,47.72,27.57,0
102,48.81,28.32,0
101,49.85,29.04,0
100,50.86,29.75,0
99,51.82,30.45,0
101,52.80,31.15,0
101,53.77,31.85,0
99,54.67,32.52,0
99,55.56,33.19,0
99,56.43,33.84,0
102,57.34,34.53,0
100,58.19,35.18,0
101,59.05,35.84,0
99,59.85,36.47,0
102,60.69,37.13,0
100,61.48,37.75,0
100,62.25,38.38,0
99,62.98,38.98,0
100,63.72,39.59,0
103,64.51,40.23,0
99,65.20,40.82,0
98,65.85,41.39,0
99,66.52,41.96,0
102,67.23,42.56,0
100,67.88,43.14,0
99,68.50,43.70,0
99,69.11,44.25,0
100,69.73,44.81,0
100,70.34,45.36,0
99,70.91,45.90,0
99,71.47,46.43,0
98,72.00,46.94,0
101,72.58,47.48,0
99,73.11,48.00,0
98,73.61,48.50,0
98,74.10,48.99,0
101,74.63,49.51,0
100,75.14,50.02,0
100,75.64,50.52,0
99,76.11,51.00,0
99,76.56,51.48,0
101,77.05,51.98,0
100,77.51,52.46,0
99,77.94,52.92,0
98,78.34,53.37,0
102,78.82,53.86,0
100,79.24,54.32,0
99,79.63,54.77,0
99,80.02,55.21,0
98,80.38,55.64,0
102,80.81,56.10,0
98,81.16,56.52,0
100,81.53,56.96,0
99,81.88,57.38,0
101,82.27,57.81,0
100,82.62,58.23,0
99,82.95,58.64,0
99,83.27,59.05,0
100,83.60,59.46,0
99,83.91,59.85,0
99,84.21,60.24,0
101,84.55,60.65,0
98,84.82,61.02,0
102,85.16,61.43,0
99,85.44,61.81,0
99,85.71,62.18,0
98,85.96,62.54,0
101,86.26,62.92,0
100,86.53,63.29,0
99,86.78,63.65,0
97,86.99,63.99,0
97,87.19,64.32,0
101,87.46,64.68,0
99,87.69,65.03,0
98,87.90,65.36,0
98,88.10,65.68,0
102,88.38,66.04,0
99,88.59,66.37,0
100,88.82,66.71,0
99,89.02,67.03,0
99,89.22,67.35,0
101,89.46,67.69,0
100,89.67,68.01,0
99,89.86,68.32,0
98,90.02,68.62,0
102,90.26,68.95,0
98,90.41,69.24,0
99,90.58,69.54,0
98,90.73,69.83,0
98,90.88,70.11,0
101,91.08,70.42,0
99,91.24,70.70,0
98,91.37,70.98,0
98,91.51,71.25,0
102,91.72,71.55,0
99,91.86,71.83,0
98,91.99,72.09,0
98,92.11,72.35,0
98,92.22,72.60,0
100,92.38,72.88,0
100,92.53,73.15,0
99,92.66,73.41,0
97,92.75,73.64,0
101,92.91,73.92,0
99,93.03,74.17,0
98,93.13,74.41,0
97,93.21,74.63,0
102,93.39,74.91,0
99,93.50,75.15,0
100,93.63,75.40,0
98,93.72,75.62,0
98,93.80,75.85,0
100,93.93,76.09,0
100,94.05,76.33,0
99,94.15,76.55,0
98,94.22,76.77,0
101,94.36,77.01,0
99,94.45,77.23,0
98,94.52,77.44,0
98,94.59,77.64,0
98,94.66,77.85,0
100,94.77,78.07,0
99,94.85,78.28,0
98,94.92,78.47,0
101,95.04,78.70,0
101,95.16,78.92,0
99,95.23,79.12,0
98,95.29,79.31,0
98,95.34,79.50,0
97,95.38,79.67,0
100,95.47,79.88,0
99,95.54,80.07,0
98,95.59,80.25,0
98,95.64,80.43,0
100,95.72,80.62,0
100,95.81,80.82,0
100,95.89,81.01,0
97,95.92,81.17,0
99,95.98,81.35,0
99,96.04,81.52,0
100,96.12,81.71,0
98,96.15,81.87,0
98,96.19,82.03,0
101,96.29,82.22,0
99,96.34,82.39,0
99,96.39,82.55,0
98,96.43,82.71,0
101,96.52,82.89,0
99,96.57,83.05,0
99,96.62,83.21,0
98,96.64,83.36,0
97,96.65,83.50,0
100,96.72,83.66,0
99,96.76,83.82,0
99,96.81,83.97,0
98,96.83,84.11,0
100,96.90,84.27,0
99,96.94,84.41,0
98,96.96,84.55,0
98,96.98,84.68,0
98,97.00,84.82,0
100,97.06,84.97,0
98,97.08,85.10,0
99,97.12,85.24,0
98,97.14,85.37,0
100,97.19,85.51,0
99,97.23,85.65,0
98,97.24,85.77,0
98,97.26,85.89,0
99,97.29,86.02,0
100,97.35,86.16,0
97,97.34,86.27,0
98,97.35,86.39,0
98,97.37,86.51,0
98,97.38,86.62,0
99,97.41,86.74,0
98,97.42,86.86,0
98,97.44,86.97,0
98,97.45,87.08,0
101,97.52,87.22,0
99,97.55,87.34,0
98,97.56,87.44,0
95,97.51,87.52,0
100,97.56,87.64,0
99,97.58,87.76,0
98,97.59,87.86,0
97,97.58,87.95,0
98,97.59,88.05,0
98,97.60,88.15,0
98,97.61,88.25,0
98,97.61,88.35,0
99,97.64,88.45,0
101,97.71,88.58,0
98,97.71,88.67,0
98,97.72,88.77,0
98,97.73,88.86,0
97,97.71,88.94,0
100,97.76,89.05,0
98,97.76,89.14,0
98,97.77,89.23,0
97,97.75,89.31,0
101,97.82,89.42,0
98,97.82,89.51,0
98,97.82,89.59,0
98,97.83,89.68,0
98,97.83,89.76,0
100,97.87,89.86,0
99,97.90,89.95,0
98,97.90,90.04,0
98,97.90,90.11,0
100,97.94,90.21,0
99,97.96,90.30,0
98,97.96,90.38,0
97,97.94,90.44,0
97,97.93,90.51,0
99,97.95,90.60,0
98,97.95,90.67,0
97,97.93,90.73,0
97,97.91,90.80,0
100,97.95,90.89,0
99,97.97,90.97,0
98,97.97,91.04,0
97,97.95,91.10,0
95,97.90,91.14,0
99,97.92,91.22,0
98,97.92,91.28,0
96,97.88,91.33,0
95,97.82,91.37,0
100,97.87,91.45,0
99,97.89,91.53,0
98,97.89,91.59,0
97,97.87,91.65,0
96,97.84,91.69,0
101,97.90,91.78,0
98,97.90,91.85,0
100,97.94,91.93,0
99,97.96,92.00,0
99,97.99,92.07,0
98,97.99,92.13,0
98,97.99,92.19,0
97,97.97,92.24,0
96,97.93,92.27,0
100,97.97,92.35,0
99,97.99,92.42,0
98,97.99,92.47,0
97,97.97,92.52,0
100,98.01,92.59,0
98,98.01,92.65,0
98,98.01,92.70,0
98,98.01,92.75,0
97,97.99,92.80,0
98,97.99,92.85,0
97,97.97,92.89,0
97,97.95,92.93,0
97,97.93,92.97,0
100,97.97,93.04,0
95,97.91,93.06,0
97,97.90,93.10,0
97,97.88,93.14,0
97,97.86,93.18,0
99,97.88,93.24,0
98,97.88,93.28,0
98,97.89,93.33,0
97,97.87,93.37,0
100,97.91,93.43,0
98,97.91,93.48,0
97,97.90,93.51,0
96,97.86,93.54,0
96,97.82,93.56,0
99,97.84,93.62,0
98,97.85,93.66,0
98,97.85,93.71,0
96,97.81,93.73,0
100,97.86,93.79,0
98,97.86,93.83,0
98,97.86,93.88,0
97,97.85,93.91,0
96,97.81,93.93,0
99,97.83,93.98,0
97,97.82,94.01,0
97,97.80,94.04,0
96,97.76,94.06,0
98,97.77,94.10,0
98,97.77,94.14,0
97,97.76,94.17,0
96,97.72,94.18,0
96,97.69,94.20,0
99,97.71,94.25,0
97,97.70,94.28,0
96,97.67,94.29,0
96,97.63,94.31,0
100,97.68,94.37,0
98,97.69,94.40,0
97,97.67,94.43,0
98,97.68,94.47,0
96,97.65,94.48,0
98,97.65,94.52,0
97,97.64,94.54,0
96,97.61,94.56,0
96,97.57,94.57,0
100,97.62,94.62,0
99,97.65,94.67,0
98,97.66,94.70,0
97,97.64,94.72,0
96,97.61,94.74,0
98,97.62,94.77,0
97,97.61,94.79,0
98,97.61,94.82,0
96,97.58,94.84,0
100,97.63,94.89,0
98,97.64,94.92,0
97,97.63,94.94,0
96,97.59,94.95,0
96,97.56,94.96,0
98,97.57,94.99,0
98,97.58,95.02,0
100,97.63,95.07,0
97,97.61,95.09,0
100,97.66,95.14,0
99,97.69,95.18,0
97,97.68,95.20,0
97,97.66,95.21,0
96,97.63,95.22,0
101,97.70,95.28,0
97,97.68,95.30,0
96,97.65,95.30,0
97,97.64,95.32,0
100,97.68,95.37,0
99,97.71,95.40,0
98,97.71,95.43,0
97,97.70,95.45,0
95,97.65,95.44,0
98,97.65,95.47,0
98,97.66,95.49,0
97,97.65,95.51,0
96,97.61,95.51,0
100,97.66,95.56,0
98,97.67,95.58,0
97,97.66,95.60,0
95,97.60,95.59,0
95,97.55,95.58,0
98,97.56,95.61,0
96,97.53,95.61,0
95,97.48,95.61,0
96,97.45,95.61,0
98,97.46,95.63,0
98,97.47,95.66,0
97,97.46,95.67,0
96,97.43,95.67,0
96,97.40,95.68,0
100,97.45,95.72,0
98,97.47,95.74,0
97,97.46,95.76,0
95,97.41,95.75,0
99,97.44,95.78,0
96,97.41,95.78,0
96,97.38,95.79,0
95,97.33,95.78,0
96,97.31,95.78,0
98,97.32,95.80,0
95,97.27,95.79,0
97,97.27,95.81,0
96,97.24,95.81,0
100,97.30,95.85,0
97,97.29,95.86,0
97,97.29,95.87,0
96,97.26,95.87,0
95,97.22,95.87,0
98,97.23,95.89,0
96,97.21,95.89,0
95,97.16,95.88,0
97,97.16,95.89,0
99,97.20,95.92,0
96,97.17,95.92,0
96,97.15,95.92,0
95,97.11,95.91,0
96,97.08,95.91,0
98,97.10,95.94,0
95,97.06,95.93,0
96,97.04,95.93,0
96,97.02,95.93,0
99,97.06,95.96,0
97,97.06,95.97,0
98,97.08,95.99,0
96,97.05,95.99,0
96,97.03,95.99,0
99,97.07,96.02,0
98,97.09,96.04,0
96,97.07,96.04,0
96,97.05,96.04,0
95,97.01,96.03,0
98,97.03,96.05,0
96,97.01,96.05,0
96,96.99,96.05,0
95,96.95,96.04,0
98,96.97,96.06,0
96,96.95,96.06,0
96,96.93,96.05,0
96,96.91,96.05,0
96,96.89,96.05,0
98,96.91,96.07,0
96,96.90,96.07,0
95,96.86,96.06,0
98,96.88,96.08,0
98,96.90,96.10,0
97,96.91,96.11,0
96,96.89,96.11,0
100,96.95,96.15,0
96,96.93,96.15,0
98,96.95,96.16,0
97,96.95,96.17,0
95,96.91,96.16,0
95,96.88,96.15,0
98,96.90,96.17,0
98,96.92,96.19,0
97,96.92,96.19,0
98,96.94,96.21,0
97,96.94,96.22,0
98,96.97,96.24,0
95,96.93,96.23,0
96,96.91,96.22,0
96,96.89,96.22,0
98,96.91,96.24,0
97,96.91,96.25,0
95,96.88,96.23,0
96,96.86,96.23,0
96,96.84,96.23,0
98,96.86,96.25,0
100,96.93,96.28,0
95,96.89,96.27,0
96,96.87,96.27,0
100,96.93,96.31,0
96,96.91,96.30,0
96,96.90,96.30,0
97,96.90,96.31,0
95,96.86,96.29,0
98,96.88,96.31,0
98,96.91,96.33,0
95,96.87,96.31,0
96,96.85,96.31,0
98,96.87,96.33,0
96,96.86,96.33,0
96,96.84,96.32,0
96,96.82,96.32,0
96,96.81,96.32,0
97,96.81,96.32,0
98,96.83,96.34,0
98,96.86,96.36,0
98,96.88,96.37,0
100,96.94,96.41,0
97,96.94,96.41,0
96,96.92,96.41,0
95,96.89,96.40,0
96,96.87,96.39,0
98,96.89,96.41,0
98,96.91,96.42,0
98,96.93,96.44,0
96,96.92,96.44,0
98,96.94,96.45,0
98,96.96,96.47,0
97,96.96,96.47,0
96,96.94,96.47,0
96,96.92,96.46,0
99,96.96,96.49,0
97,96.96,96.49,0
96,96.94,96.49,0
96,96.93,96.48,0
100,96.99,96.52,0
97,96.99,96.52,0
97,96.99,96.53,0
95,96.95,96.51,0
96,96.93,96.51,0
100,96.99,96.54,0
96,96.97,96.54,0
97,96.97,96.54,0
95,96.93,96.53,0
99,96.97,96.55,0
98,96.99,96.57,0
98,97.01,96.58,0
97,97.01,96.58,0
96,96.99,96.58,0
98,97.01,96.59,0
97,97.01,96.60,0
95,96.97,96.58,0
96,96.95,96.57,0
98,96.97,96.59,0
98,96.99,96.60,0
97,96.99,96.61,0
97,96.99,96.61,0
96,96.98,96.61,0
99,97.02,96.63,0
98,97.04,96.64,0
96,97.01,96.64,0
97,97.01,96.64,0
98,97.03,96.65,0
98,97.05,96.67,0
100,97.11,96.70,0
98,97.13,96.71,0
98,97.15,96.73,0
99,97.18,96.75,0
95,97.14,96.73,0
97,97.14,96.73,0
96,97.12,96.73,0
98,97.13,96.74,0
98,97.15,96.75,0
98,97.17,96.76,0
96,97.14,96.76,0
96,97.12,96.75,0
100,97.18,96.78,0
98,97.19,96.79,0
97,97.19,96.80,0
97,97.19,96.80,0
98,97.20,96.81,0
98,97.22,96.82,0
98,97.24,96.83,0
98,97.25,96.85,0
96,97.23,96.84,0
100,97.28,96.87,0
97,97.28,96.87,0
96,97.25,96.86,0
97,97.24,96.86,0
98,97.26,96.87,0
100,97.31,96.91,0
97,97.31,96.91,0
97,97.30,96.91,0
97,97.30,96.91,0
98,97.31,96.92,0
100,97.36,96.95,0
99,97.40,96.97,0
97,97.39,96.97,0
99,97.42,96.99,0
97,97.41,96.99,0
97,97.40,96.99,0
100,97.46,97.02,0
97,97.45,97.02,0
101,97.52,97.06,0
97,97.51,97.06,0
97,97.50,97.06,0
97,97.49,97.06,0
99,97.52,97.08,0
100,97.57,97.11,0
100,97.62,97.14,0
99,97.64,97.16,0
98,97.65,97.16,0
100,97.70,97.19,0
98,97.70,97.20,0
98,97.71,97.21,0
98,97.72,97.22,0
100,97.76,97.24,0
99,97.79,97.26,0
98,97.79,97.27,0
99,97.81,97.29,0
98,97.82,97.29,0
100,97.86,97.32,0
100,97.90,97.35,0
99,97.93,97.36,0
99,97.95,97.38,0
99,97.97,97.40,0
99,97.99,97.41,0
98,97.99,97.42,0
98,97.99,97.42,0
96,97.95,97.41,0
102,98.03,97.46,0
98,98.03,97.46,0
98,98.03,97.47,0
98,98.03,97.47,0
100,98.07,97.50,0
99,98.09,97.51,0
98,98.09,97.52,0
98,98.08,97.52,0
97,98.06,97.52,0
99,98.08,97.53,0
98,98.08,97.54,0
99,98.10,97.55,0
97,98.08,97.55,0
100,98.11,97.57,0
98,98.11,97.57,0
98,98.11,97.58,0
98,98.11,97.58,0
97,98.09,97.58,0
99,98.10,97.59,0
100,98.14,97.62,0
98,98.14,97.62,0
98,98.14,97.62,0
101,98.19,97.66,0
98,98.19,97.66,0
98,98.19,97.66,0
98,98.18,97.67,0
97,98.16,97.66,0
