Teste de posicionamento 1.1(EMG ao centro do bíceps (Verde A, Vermelho B) + Ref no pulso) - 16/09/2024 - teste3 - 5 contrações
long frequencia = 1000;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
87,1.74,0.87,0
89,3.49,1.75,0
88,5.18,2.61,0
87,6.81,3.46,0
86,8.40,4.28,0
85,9.93,5.09,0
86,11.45,5.90,0
87,12.96,6.71,0
86,14.42,7.50,0
87,15.87,8.30,0
86,17.28,9.08,0
85,18.63,9.83,0
87,20.00,10.61,0
87,21.34,11.37,0
85,22.61,12.11,0
83,23.82,12.82,0
85,25.04,13.54,0
85,26.24,14.25,0
86,27.44,14.97,0
86,28.61,15.68,0
85,29.74,16.37,0
85,30.84,17.06,0
86,31.94,17.75,0
84,32.98,18.41,0
85,34.03,19.08,0
86,35.06,19.75,0
84,36.04,20.39,0
84,37.00,21.02,0
85,37.96,21.66,0
85,38.90,22.30,0
86,39.85,22.93,0
84,40.73,23.55,0
85,41.61,24.16,0
84,42.46,24.76,0
84,43.29,25.35,0
84,44.11,25.94,0
85,44.92,26.53,0
84,45.71,27.10,0
84,46.47,27.67,0
84,47.22,28.23,0
85,47.98,28.80,0
84,48.70,29.35,0
84,49.40,29.90,0
84,50.10,30.44,0
85,50.79,30.99,0
84,51.46,31.52,0
84,52.11,32.04,0
86,52.79,32.58,0
85,53.43,33.11,0
84,54.04,33.62,0
84,54.64,34.12,0
84,55.23,34.62,0
83,55.78,35.10,0
84,56.35,35.59,0
84,56.90,36.07,0
84,57.44,36.55,0
83,57.95,37.02,0
84,58.48,37.49,0
86,59.03,37.97,0
84,59.53,38.43,0
83,60.00,38.88,0
84,60.48,39.33,0
84,60.95,39.78,0
84,61.41,40.22,0
83,61.84,40.65,0
84,62.28,41.08,0
88,62.80,41.55,0
85,63.24,41.98,0
83,63.64,42.39,0
83,64.02,42.80,0
84,64.42,43.21,0
83,64.79,43.61,0
82,65.14,43.99,0
82,65.48,44.37,0
80,65.77,44.73,0
83,66.11,45.11,0
82,66.43,45.48,0
88,66.86,45.91,0
83,67.18,46.28,0
83,67.50,46.65,0
82,67.79,47.00,0
82,68.07,47.35,0
80,68.31,47.68,0
82,68.59,48.02,0
84,68.89,48.38,0
82,69.16,48.72,0
82,69.41,49.05,0
82,69.66,49.38,0
84,69.95,49.72,0
81,70.17,50.04,0
83,70.43,50.37,0
82,70.66,50.68,0
82,70.89,51.00,0
82,71.11,51.31,0
82,71.33,51.61,0
82,71.54,51.92,0
84,71.79,52.24,0
82,71.99,52.53,0
82,72.19,52.83,0
82,72.39,53.12,0
83,72.60,53.42,0
83,72.81,53.72,0
81,72.97,53.99,0
82,73.15,54.27,0
81,73.31,54.54,0
82,73.49,54.81,0
81,73.64,55.07,0
82,73.80,55.34,0
81,73.95,55.60,0
82,74.11,55.86,0
81,74.25,56.11,0
80,74.36,56.35,0
81,74.49,56.60,0
81,74.62,56.84,0
80,74.73,57.07,0
80,74.84,57.30,0
83,75.00,57.56,0
81,75.12,57.80,0
80,75.22,58.02,0
80,75.31,58.24,0
80,75.41,58.45,0
80,75.50,58.67,0
80,75.59,58.88,0
80,75.68,59.09,0
81,75.78,59.31,0
80,75.87,59.52,0
80,75.95,59.73,0
80,76.03,59.93,0
83,76.17,60.16,0
80,76.25,60.36,0
80,76.32,60.55,0
79,76.38,60.74,0
80,76.45,60.93,0
80,76.52,61.12,0
80,76.59,61.31,0
80,76.66,61.50,0
79,76.70,61.67,0
80,76.77,61.86,0
80,76.83,62.04,0
78,76.86,62.20,0
79,76.90,62.36,0
79,76.94,62.53,0
78,76.96,62.69,0
79,77.00,62.85,0
80,77.06,63.02,0
79,77.10,63.18,0
78,77.12,63.33,0
78,77.14,63.48,0
79,77.18,63.63,0
80,77.23,63.79,0
78,77.25,63.94,0
79,77.28,64.09,0
79,77.32,64.24,0
78,77.33,64.37,0
78,77.34,64.51,0
79,77.38,64.65,0
79,77.41,64.80,0
78,77.42,64.93,0
79,77.45,65.07,0
78,77.46,65.20,0
78,77.47,65.33,0
81,77.55,65.48,0
80,77.59,65.63,0
79,77.62,65.76,0
78,77.63,65.89,0
78,77.64,66.01,0
79,77.66,66.14,0
78,77.67,66.26,0
78,77.68,66.37,0
78,77.68,66.49,0
78,77.69,66.60,0
78,77.70,66.72,0
79,77.72,66.84,0
84,77.85,67.01,0
78,77.85,67.12,0
78,77.85,67.23,0
78,77.86,67.34,0
78,77.86,67.45,0
78,77.86,67.55,0
78,77.87,67.66,0
78,77.87,67.76,0
80,77.91,67.88,0
78,77.91,67.98,0
78,77.91,68.08,0
78,77.92,68.18,0
77,77.90,68.27,0
78,77.90,68.37,0
77,77.88,68.45,0
78,77.88,68.55,0
75,77.83,68.61,0
77,77.81,68.70,0
77,77.79,68.78,0
79,77.82,68.88,0
77,77.80,68.96,0
78,77.81,69.05,0
77,77.79,69.13,0
77,77.77,69.21,0
76,77.74,69.28,0
77,77.72,69.36,0
78,77.73,69.44,0
77,77.71,69.52,0
77,77.70,69.59,0
76,77.67,69.66,0
77,77.65,69.73,0
77,77.64,69.80,0
77,77.63,69.88,0
76,77.59,69.94,0
77,77.58,70.01,0
77,77.57,70.08,0
78,77.58,70.16,0
77,77.57,70.23,0
76,77.54,70.28,0
77,77.53,70.35,0
76,77.50,70.41,0
76,77.47,70.46,0
76,77.44,70.52,0
76,77.41,70.57,0
76,77.38,70.63,0
76,77.35,70.68,0
76,77.32,70.73,0
77,77.32,70.80,0
76,77.29,70.85,0
75,77.25,70.89,0
76,77.22,70.94,0
75,77.18,70.98,0
77,77.17,71.04,0
76,77.15,71.09,0
76,77.13,71.14,0
77,77.12,71.20,0
75,77.08,71.24,0
76,77.06,71.29,0
76,77.04,71.33,0
76,77.02,71.38,0
76,77.00,71.43,0
76,76.98,71.47,0
76,76.96,71.52,0
77,76.96,71.57,0
76,76.94,71.62,0
76,76.92,71.66,0
76,76.90,71.70,0
76,76.88,71.75,0
76,76.87,71.79,0
76,76.85,71.83,0
76,76.83,71.87,0
76,76.82,71.91,0
75,76.78,71.94,0
77,76.78,72.00,0
76,76.77,72.04,0
76,76.75,72.07,0
76,76.74,72.11,0
76,76.72,72.15,0
76,76.71,72.19,0
76,76.69,72.23,0
76,76.68,72.27,0
74,76.63,72.28,0
76,76.61,72.32,0
76,76.60,72.36,0
76,76.59,72.39,0
76,76.58,72.43,0
74,76.53,72.45,0
75,76.50,72.47,0
76,76.49,72.51,0
76,76.48,72.54,0
76,76.47,72.58,0
75,76.44,72.60,0
76,76.43,72.64,0
76,76.42,72.67,0
74,76.37,72.68,0
74,76.32,72.70,0
74,76.28,72.71,0
76,76.27,72.74,0
75,76.25,72.76,0
74,76.20,72.78,0
76,76.20,72.81,0
76,76.19,72.84,0
75,76.17,72.86,0
74,76.13,72.87,0
76,76.12,72.90,0
76,76.12,72.94,0
74,76.08,72.95,0
73,76.02,72.95,0
75,76.00,72.97,0
74,75.96,72.98,0
74,75.92,72.99,0
74,75.88,73.00,0
76,75.88,73.03,0
74,75.84,73.04,0
74,75.81,73.05,0
75,75.79,73.07,0
76,75.80,73.10,0
74,75.76,73.11,0
75,75.74,73.12,0
76,75.75,73.15,0
74,75.71,73.16,0
74,75.68,73.17,0
74,75.65,73.18,0
78,75.69,73.23,0
75,75.68,73.24,0
74,75.65,73.25,0
74,75.61,73.26,0
76,75.62,73.29,0
74,75.59,73.29,0
74,75.56,73.30,0
74,75.53,73.31,0
73,75.48,73.30,0
76,75.49,73.33,0
74,75.46,73.34,0
74,75.43,73.34,0
75,75.42,73.36,0
76,75.43,73.39,0
74,75.40,73.39,0
74,75.37,73.40,0
76,75.39,73.43,0
76,75.40,73.45,0
74,75.37,73.46,0
74,75.34,73.46,0
76,75.36,73.49,0
74,75.33,73.49,0
76,75.34,73.52,0
74,75.32,73.52,0
74,75.29,73.53,0
74,75.26,73.53,0
74,75.24,73.54,0
76,75.25,73.56,0
74,75.23,73.57,0
74,75.20,73.57,0
74,75.18,73.57,0
74,75.16,73.58,0
74,75.13,73.58,0
74,75.11,73.59,0
74,75.09,73.59,0
73,75.05,73.59,0
74,75.03,73.59,0
76,75.04,73.61,0
74,75.02,73.62,0
74,75.00,73.62,0
74,74.98,73.63,0
74,74.96,73.63,0
72,74.90,73.61,0
74,74.89,73.62,0
74,74.87,73.62,0
72,74.81,73.60,0
72,74.76,73.59,0
72,74.70,73.57,0
73,74.67,73.57,0
72,74.61,73.55,0
72,74.56,73.54,0
72,74.51,73.52,0
72,74.46,73.50,0
72,74.41,73.49,0
72,74.36,73.48,0
74,74.35,73.48,0
73,74.33,73.48,0
72,74.28,73.46,0
72,74.24,73.45,0
74,74.23,73.45,0
73,74.21,73.45,0
74,74.20,73.45,0
73,74.18,73.45,0
72,74.13,73.43,0
72,74.09,73.42,0
74,74.09,73.43,0
74,74.09,73.43,0
72,74.05,73.42,0
72,74.01,73.40,0
76,74.05,73.43,0
72,74.00,73.41,0
73,73.98,73.41,0
72,73.94,73.40,0
72,73.91,73.38,0
72,73.87,73.37,0
71,73.81,73.34,0
72,73.77,73.33,0
72,73.74,73.32,0
72,73.70,73.30,0
72,73.67,73.29,0
71,73.62,73.27,0
72,73.58,73.26,0
72,73.55,73.24,0
72,73.52,73.23,0
71,73.47,73.21,0
73,73.46,73.21,0
72,73.43,73.19,0
71,73.38,73.17,0
72,73.36,73.16,0
72,73.33,73.15,0
71,73.28,73.13,0
71,73.24,73.11,0
71,73.19,73.09,0
72,73.17,73.07,0
71,73.12,73.05,0
71,73.08,73.03,0
73,73.08,73.03,0
70,73.02,73.00,0
72,73.00,72.99,0
72,72.98,72.98,0
73,72.98,72.98,0
72,72.96,72.97,0
70,72.90,72.94,0
71,72.86,72.92,0
72,72.84,72.91,0
71,72.81,72.90,0
